#    t=      ,    KineticE=    ,      TotalE=      ,      PotentialE=    ,    P(GPa)=       ,     T(K)=         ,     xi=
   7080.00   ,    0.0389411953 ,  -1151.8581567947 ,  -1151.8970979900   ,    0.0000000000  ,  1171.0035257491  ,     0.0000000000
   7120.00   ,    0.0210037909 ,  -1151.8604993891 ,  -1151.8815031800   ,    0.0000000000  ,   631.6065275819  ,     0.0000000000
   7160.00   ,    0.0233754214 ,  -1151.8650317686 ,  -1151.8884071900   ,    0.0000000000  ,   702.9240033168  ,     0.0000000000
   7200.00   ,    0.0352240816 ,  -1151.8622377384 ,  -1151.8974618200   ,    0.0000000000  ,  1059.2259278144  ,     0.0000000000
   7240.00   ,    0.0455406017 ,  -1151.8638139083 ,  -1151.9093545100   ,    0.0000000000  ,  1369.4547581038  ,     0.0000000000
   7280.00   ,    0.0491131228 ,  -1151.8655297172 ,  -1151.9146428400   ,    0.0000000000  ,  1476.8843010535  ,     0.0000000000
   7320.00   ,    0.0286210647 ,  -1151.8599371153 ,  -1151.8885581800   ,    0.0000000000  ,   860.6661255287  ,     0.0000000000
   7360.00   ,    0.0338439094 ,  -1151.8635500706 ,  -1151.8973939800   ,    0.0000000000  ,  1017.7226708315  ,     0.0000000000
   7400.00   ,    0.0650212189 ,  -1151.8672350411 ,  -1151.9322562600   ,    0.0000000000  ,  1955.2578192969  ,     0.0000000000
   7440.00   ,    0.0566287075 ,  -1151.8598903725 ,  -1151.9165190800   ,    0.0000000000  ,  1702.8859968004  ,     0.0000000000
   7480.00   ,    0.0318428476 ,  -1151.8595619224 ,  -1151.8914047700   ,    0.0000000000  ,   957.5485936872  ,     0.0000000000
   7520.00   ,    0.0264707654 ,  -1151.8643188246 ,  -1151.8907895900   ,    0.0000000000  ,   796.0043190090  ,     0.0000000000
   7560.00   ,    0.0345152344 ,  -1151.8629247856 ,  -1151.8974400200   ,    0.0000000000  ,  1037.9101334344  ,     0.0000000000
   7600.00   ,    0.0438668932 ,  -1151.8629399468 ,  -1151.9068068400   ,    0.0000000000  ,  1319.1245457238  ,     0.0000000000
   7640.00   ,    0.0545299079 ,  -1151.8645628321 ,  -1151.9190927400   ,    0.0000000000  ,  1639.7728388266  ,     0.0000000000
   7680.00   ,    0.0483322702 ,  -1151.8652200798 ,  -1151.9135523500   ,    0.0000000000  ,  1453.4032232161  ,     0.0000000000
